LONGITUDE,LATITUDE,BRIGHT_TI4,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_TI5,FRP,DAYNIGHT
13.98422,12.04214,346.9,0.53,0.42,2020-06-14,1200,N,VIIRS,n,1.0NRT,314.9,5,D
13.98356,12.04598,353.6,0.53,0.42,2020-06-14,1200,N,VIIRS,n,1.0NRT,315.8,5,D
13.98677,12.04455,346,0.53,0.42,2020-06-14,1200,N,VIIRS,n,1.0NRT,314.9,7.5,D
13.98192,12.04375,346,0.53,0.42,2020-06-14,1200,N,VIIRS,l,1.0NRT,316,3.4,D
14.17023,12.03964,353,0.52,0.41,2020-06-14,1200,N,VIIRS,n,1.0NRT,317,6.7,D
14.16958,12.04344,341.9,0.52,0.41,2020-06-14,1200,N,VIIRS,l,1.0NRT,315.8,2,D
13.91701,11.57611,340.4,0.54,0.42,2020-06-14,1200,N,VIIRS,l,1.0NRT,313.4,4.2,D
13.91633,11.57999,340.4,0.54,0.42,2020-06-14,1200,N,VIIRS,l,1.0NRT,312.9,4.2,D
6.39289,5.66323,303.5,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,289.2,1.1,N
6.39352,5.66745,315.1,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,289.2,1.1,N
6.30284,5.56857,323.3,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,288.9,3.4,N
6.68195,5.54721,331.2,0.41,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.8,2.6,N
5.37557,5.6881,314.8,0.5,0.49,2020-06-15,36,N,VIIRS,n,1.0NRT,280,1.8,N
6.30677,5.568,327.5,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,289.1,2.6,N
5.35161,5.66307,298.8,0.5,0.49,2020-06-15,36,N,VIIRS,n,1.0NRT,273.2,1.1,N
5.37833,5.68684,321.9,0.5,0.49,2020-06-15,36,N,VIIRS,n,1.0NRT,279,2.1,N
8.27303,5.19,305.1,0.49,0.4,2020-06-15,36,N,VIIRS,n,1.0NRT,291,0.7,N
6.06068,5.52274,305.7,0.45,0.47,2020-06-15,36,N,VIIRS,n,1.0NRT,289.1,1,N
6.13436,5.49008,305.3,0.44,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,289,0.6,N
5.93834,5.51847,303.8,0.46,0.47,2020-06-15,36,N,VIIRS,n,1.0NRT,289.3,0.5,N
5.46676,5.52464,340,0.49,0.49,2020-06-15,36,N,VIIRS,n,1.0NRT,275.3,3.9,N
5.93768,5.51413,304.7,0.46,0.47,2020-06-15,36,N,VIIRS,n,1.0NRT,289.3,0.5,N
5.88506,5.43627,317.7,0.46,0.47,2020-06-15,36,N,VIIRS,n,1.0NRT,289.5,1.3,N
5.47121,5.52399,300.9,0.49,0.49,2020-06-15,36,N,VIIRS,n,1.0NRT,274.4,3.9,N
6.21706,5.88175,302.6,0.44,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,285.6,0.9,N
6.21771,5.88603,319,0.44,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,287.7,2.1,N
6.6275,5.77478,304.4,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.9,0.8,N
6.21843,5.88316,323.7,0.44,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,286.1,2.2,N
6.4835,5.71434,307.7,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,287.9,1.1,N
6.62689,5.77062,313.9,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.7,0.8,N
6.42051,5.71515,339.1,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,289.8,4.2,N
6.48734,5.71377,315.1,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,287.5,0.8,N
6.59199,5.68535,306.1,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,290.1,0.9,N
6.5926,5.68951,314.1,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,291.2,0.9,N
6.36032,5.68522,339.9,0.43,0.46,2020-06-15,36,N,VIIRS,n,1.0NRT,290.2,6.7,N
6.70673,5.65982,308.2,0.41,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.7,1.3,N
6.5187,5.66207,313.5,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.9,0.8,N
6.51487,5.66263,304,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,289.4,1,N
6.66896,5.63583,345.7,0.41,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,291.3,5.9,N
6.51807,5.65789,332.7,0.42,0.45,2020-06-15,36,N,VIIRS,n,1.0NRT,290.4,2.4,N
11.57195,9.36569,341.7,0.39,0.36,2020-06-07,1230,N,VIIRS,n,1.0NRT,306.2,2,D
12.43221,10.76814,338.2,0.41,0.37,2020-06-07,1230,N,VIIRS,l,1.0NRT,308.4,2.1,D
