==============================================================================
==============================================================================
Wed. Jun. 18 2014                  LANDSAT 5                       Time: 07:31
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101406179892_00092                          Path / Row - 224 / 63
Reference Image: L51CUB1011210130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630800   -3.67702    -49.71354    -0.08     -0.08     0.12     1 
2240630801   -3.67698    -49.68545     0.08      0.15     0.17     1 
2240630803   -3.67690    -49.62927     0.21     -0.09     0.23     1 
2240630804   -3.67685    -49.60119     0.31     -0.06     0.32     1 
2240630806   -3.67676    -49.54501     0.28      0.28     0.40     1 
2240630808   -3.67667    -49.48884    -0.10     -0.08     0.12     1 
2240630809   -3.67662    -49.46075    -0.20      0.27     0.34     1 
2240630811   -3.67652    -49.40458     0.37     -0.04     0.37     1 
2240630812   -3.67647    -49.37650     0.00      0.07     0.07     1 
2240630815   -3.67631    -49.29225     0.03      0.22     0.22     1 
2240630837   -3.70290    -50.78108    -0.04     -0.08     0.09     1 
2240630846   -3.70280    -50.52821    -0.16     -0.00     0.16     1 
2240630847   -3.70278    -50.50012     0.04      0.36     0.37     1 
2240630848   -3.70276    -50.47202     0.05      0.16     0.17     1 
2240630854   -3.70265    -50.30345    -0.08     -0.11     0.13     1 
2240630858   -3.70255    -50.19107    -0.13      0.01     0.13     1 
2240630860   -3.70250    -50.13488    -0.10      0.21     0.23     1 
2240630861   -3.70247    -50.10679    -0.08      0.25     0.26     1 
2240630862   -3.70244    -50.07870    -0.05      0.13     0.13     1 
2240630863   -3.70241    -50.05060    -0.12      0.09     0.15     1 
2240630864   -3.70238    -50.02251    -0.01      0.07     0.08     1 
2240630865   -3.70235    -49.99442     0.09      0.06     0.11     1 
2240630866   -3.70232    -49.96632     0.09      0.14     0.17     1 
2240630868   -3.70225    -49.91014     0.08     -0.12     0.14     1 
2240630870   -3.70218    -49.85396     0.06     -0.12     0.13     1 
2240630871   -3.70214    -49.82587     0.01     -0.16     0.16     1 
2240630872   -3.70210    -49.79778     0.14      0.28     0.32     1 
2240630873   -3.70207    -49.76969     0.12      0.17     0.21     1 
2240630874   -3.70203    -49.74159     0.16      0.06     0.17     1 
2240630875   -3.70199    -49.71350    -0.31     -0.01     0.31     1 
2240630876   -3.70195    -49.68541    -0.01      0.18     0.18     1 
2240630880   -3.70177    -49.57306    -0.25     -0.02     0.25     1 
2240630883   -3.70163    -49.48880     0.00     -0.10     0.10     1 
2240630884   -3.70158    -49.46071     0.03     -0.04     0.05     1 
2240630885   -3.70153    -49.43262     0.16     -0.16     0.23     1 
2240630887   -3.70143    -49.37645    -0.01     -0.08     0.08     1 
2240630888   -3.70138    -49.34837    -0.07      0.03     0.08     1 
2240630889   -3.70133    -49.32028    -0.00     -0.24     0.24     1 
2240630895   -3.70099    -49.15178    -0.18      0.18     0.25     1 
2240630912   -3.72787    -50.78107     0.24     -0.09     0.26     1 
2240630914   -3.72785    -50.72488    -0.02     -0.12     0.12     1 
2240630917   -3.72782    -50.64059    -0.10     -0.26     0.28     1 
2240630918   -3.72781    -50.61249    -0.03     -0.05     0.06     1 
2240630919   -3.72779    -50.58439     0.08     -0.13     0.15     1 
2240630921   -3.72777    -50.52820    -0.26     -0.24     0.35     1 
2240630924   -3.72772    -50.44391    -0.04      0.18     0.19     1 
2240630929   -3.72762    -50.30343     0.01      0.19     0.19     1 
2240630933   -3.72752    -50.19105    -0.04      0.16     0.16     1 
2240630934   -3.72749    -50.16295    -0.14      0.05     0.15     1 
2240630935   -3.72747    -50.13486    -0.04      0.13     0.14     1 
2240630936   -3.72744    -50.10676    -0.13      0.06     0.14     1 
2240630937   -3.72741    -50.07867    -0.10      0.02     0.11     1 
2240630942   -3.72725    -49.93820     0.00      0.14     0.14     1 
2240630943   -3.72722    -49.91011     0.20      0.09     0.22     1 
2240630944   -3.72718    -49.88202    -0.00      0.01     0.01     1 
