Wed. Jun. 18, 2014             LANDSAT 5                 Time: 02:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12050383            Path/Row: 224 / 063

L0R Reference Image: L51CUB1011210130101_HDF.141690354
Acquisition Date: Jul 29, 2011

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
224   063   2001-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240630234   -4.507309  -49.565411    44.000      -1.522     2.566    -1.875     2.320
2240630235   -4.007340  -49.776811    62.841      -2.208    -2.542    -1.819    -2.832
2240630236   -3.736799  -49.770177    60.844       2.545     1.054     2.366     1.408
2240630237   -3.918085  -49.789100    48.210      -0.308     0.752    -0.413     0.699
2240630239   -5.058281  -50.137653   104.482      -3.168     6.141    -4.017     5.618
2240630240   -4.035591  -49.797575    62.794      -1.867    -2.422    -1.499    -2.664
2240630241   -4.452609  -49.356833    56.237      -0.451    -5.349     0.323    -5.357
2240630242   -3.818505  -49.791673    47.457      -0.932     3.745    -1.461     3.571
2240630244   -4.137431  -49.681222    53.506       3.301    -1.739     3.515    -1.246
2240630245   -4.001250  -49.882739    45.000      -5.721     3.937    -6.225     3.072
2240630247   -3.717353  -49.837191    67.034      -2.335     1.080    -2.465     0.734
2240630248   -4.351451  -49.992268   110.888      -5.884     5.718    -6.642     4.810
2240630249   -4.085986  -50.165570   104.343       5.963    -5.363     6.667    -4.447
2240630250   -4.458213  -49.316005    55.155      -1.728    -6.102    -0.832    -6.286
