Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
1020,1394,13,9,17,20,1,219,13,9,17,19,44,800
1260,6044,13,9,17,8,42,197,13,9,17,8,21,234
1260,118,14,9,17,9,3,252,14,9,17,8,42,93
480,8484,15,9,17,19,9,564,15,9,17,19,1,393
240,4343,15,9,17,15,34,203,15,9,17,15,30,427
240,6172,19,9,17,0,4,460,19,9,17,0,0,491
180,769,18,9,17,12,16,460,18,9,17,12,13,492
300,10965,18,9,17,12,56,492,18,9,17,12,51,460
660,287,18,9,17,21,45,577,18,9,17,21,34,460
300,5,18,9,17,17,56,460,18,9,17,17,51,492
1620,7069,16,9,17,17,42,726,16,9,17,17,15,81
1680,4372,18,9,17,10,21,81,18,9,17,9,53,726
240,7076,15,9,17,8,15,196,15,9,17,8,11,194
660,558,13,9,17,6,56,251,13,9,17,6,45,749
540,7297,19,9,17,17,22,251,19,9,17,17,13,749
780,6356,19,9,17,14,22,748,19,9,17,14,9,748
360,6989,15,9,17,15,47,39,15,9,17,15,41,749
600,3310,14,9,17,13,2,749,14,9,17,12,52,251
300,9559,19,9,17,13,46,39,19,9,17,13,41,251
540,6082,14,9,17,7,9,251,14,9,17,7,0,749
360,9559,19,9,17,13,56,749,19,9,17,13,50,39
540,14695,19,9,17,12,13,251,19,9,17,12,4,749
600,324,13,9,17,17,37,251,13,9,17,17,27,749
1320,748,17,9,17,20,36,752,17,9,17,20,14,616
1380,11340,19,9,17,18,8,5,19,9,17,17,45,743
1680,10962,17,9,17,20,42,665,17,9,17,20,14,616
1320,10441,17,9,17,20,36,752,17,9,17,20,14,616
1860,1763,15,9,17,18,30,653,15,9,17,17,59,108
840,3026,18,9,17,18,30,715,18,9,17,18,16,427
900,13297,19,9,17,9,39,427,19,9,17,9,24,715
780,12755,14,9,17,18,17,12,14,9,17,18,4,427
1380,14961,16,9,17,10,47,564,16,9,17,10,24,715
840,12444,19,9,17,18,28,715,19,9,17,18,14,427
240,4414,15,9,17,1,6,712,15,9,17,1,2,492
240,8348,15,9,17,17,41,492,15,9,17,17,37,712
2400,5443,14,9,17,18,23,446,14,9,17,17,43,712
300,6701,14,9,17,8,59,279,14,9,17,8,54,402
420,13441,19,9,17,9,35,279,19,9,17,9,28,759
300,13857,18,9,17,18,47,402,18,9,17,18,42,279
360,5931,13,9,17,9,35,279,13,9,17,9,29,759
240,6701,13,9,17,21,29,402,13,9,17,21,25,279
7740,4654,16,9,17,16,40,191,16,9,17,14,31,191
12960,11472,16,9,17,18,9,191,16,9,17,14,33,191
13020,6404,16,9,17,18,9,191,16,9,17,14,32,191
13080,4364,16,9,17,18,9,191,16,9,17,14,31,191
540,957,18,9,17,7,25,87,18,9,17,7,16,536
660,4332,15,9,17,13,16,177,15,9,17,13,5,368
1440,10938,16,9,17,17,22,625,16,9,17,16,58,625
960,10938,16,9,17,16,54,625,16,9,17,16,38,638
1620,8466,14,9,17,18,40,718,14,9,17,18,13,433
1200,2982,14,9,17,16,21,284,14,9,17,16,1,303
1140,9986,15,9,17,10,7,683,15,9,17,9,48,185
1020,14901,19,9,17,9,47,683,19,9,17,9,30,185
1020,2262,14,9,17,18,21,185,14,9,17,18,4,683
960,10417,18,9,17,18,38,419,18,9,17,18,22,683
1140,7344,15,9,17,17,57,185,15,9,17,17,38,683
1140,12938,14,9,17,10,10,683,14,9,17,9,51,178
1140,5991,19,9,17,18,24,288,19,9,17,18,5,683
300,2580,14,9,17,19,23,742,14,9,17,19,18,225
1800,11705,15,9,17,8,34,27,15,9,17,8,4,742
1920,2378,15,9,17,17,58,742,15,9,17,17,26,27
1320,2979,18,9,17,18,15,638,18,9,17,17,53,53
900,1808,19,9,17,17,48,658,19,9,17,17,33,541
300,929,16,9,17,15,58,52,16,9,17,15,53,58
360,12498,16,9,17,18,12,58,16,9,17,18,6,52
540,14039,16,9,17,15,40,58,16,9,17,15,31,719
1320,12498,16,9,17,18,56,521,16,9,17,18,34,58
660,816,19,9,17,15,19,18,19,9,17,15,8,313
780,9353,19,9,17,16,23,313,19,9,17,16,10,338
1020,14932,14,9,17,23,34,191,14,9,17,23,17,191
1380,14932,14,9,17,23,5,191,14,9,17,22,42,300
840,14932,15,9,17,0,1,826,14,9,17,23,47,191
1800,7100,15,9,17,15,54,219,15,9,17,15,24,727
2100,1221,15,9,17,18,34,798,15,9,17,17,59,256
420,13749,15,9,17,8,5,25,15,9,17,7,58,674
1260,14961,13,9,17,15,11,732,13,9,17,14,50,334
960,12059,13,9,17,11,41,819,13,9,17,11,25,732
900,14943,16,9,17,15,22,305,16,9,17,15,7,440
900,6131,16,9,17,15,22,305,16,9,17,15,7,440
1380,8348,16,9,17,19,6,508,16,9,17,18,43,469
840,13072,16,9,17,8,29,327,16,9,17,8,15,57
960,6416,15,9,17,8,49,327,15,9,17,8,33,57
840,5825,13,9,17,7,38,57,13,9,17,7,24,327
720,14405,16,9,17,19,34,57,16,9,17,19,22,327
